Name,Description,Author,Comment,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Tennis Dungeons Mod,1000+ new items!|(Always offered as scrap),dummy,sorry but it sounded really funny in my mind,1,giveequipment(~Spanner~); sfx(~useitem~);,Magic Spanner,NORMAL,,GRAY,change_power,change_power,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Tennis Dungeons Mod_upgraded,2000+ new items!|(Always offered as scrap),dummy,dead mod xd,2,giveequipment([~Spanner~|~Spanner~]); sfx(~useitem~);,Magic Spanner,NORMAL,,GRAY,change_power,change_power,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Tennis Dungeons Mod_downgraded,No effect|(Always offered as scrap)|''dead mod xd'',dummy,dead mod xd,1,,Magic Spanner,NORMAL,,GRAY,change_power,change_power,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Tennis Dungeons Mod_weakened,No effect|(Always offered as scrap)|''dead mod xd'',dummy,pretty old idea. also this is an anagram,2,,Magic Spanner,NORMAL,,GRAY,change_power,change_power,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Exotic Zoo,Do [sword]<d6> damage[;] on 6[;]|transform into an animal,dummy,sidegrade?!?!??!?!?!,2,attack(d); sfxdamage(target|d); if(d == 6){ if(simulation) { bonus(2000); } else { reunion_transform(self|rand([~Gardener~|~Frog~|~Wolf Puppy~|~Baby Squid~|~Sneezy~|~Rhino Beetle~|~Dire Wolf~|~Cowboy~|~Rat King~|~Buster~])|false); delay(1.0); } },,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Exotic Zoo_upgraded,Do [sword]<d6> damage[;] on even[;]|transform into an animal,dummy,pretty old idea. also this is an anagram,2,attack(d); sfxdamage(target|d); if(d % 2 == 0){ if(simulation) { bonus(2000); } else { reunion_transform(self|rand([~Gardener~|~Frog~|~Wolf Puppy~|~Baby Squid~|~Sneezy~|~Rhino Beetle~|~Dire Wolf~|~Cowboy~|~Rat King~|~Buster~])|false); delay(1.0); } },,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Exotic Zoo_downgraded,Transform into an animal,dummy,lol,2,if(simulation) { bonus(2000); } else { reunion_transform(self|rand([~Gardener~|~Frog~|~Wolf Puppy~|~Baby Squid~|~Sneezy~|~Rhino Beetle~|~Kraken~|~Dire Wolf~|~Cowboy~|~Rat King~|~Buster~|~Beatrice~])|false); delay(1.0); },,REQUIRE6,,PINK,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Long Circuit,Add <d6>x random status,dummy,lol,1,var randstat = rand([FIRE|ICE|SHOCK|WEAKEN|POISON|CURSE|LOCK]); inflict(randstat|d); sfx(~_~+randstat.toLowerCase());,,LOCKED7,,RED,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Long Circuit_upgraded,Add <d6>x random status,dummy,lol,1,var randstat = rand([FIRE|ICE|SHOCK|WEAKEN|POISON|CURSE|LOCK]); inflict(randstat|d); sfx(~_~+randstat.toLowerCase());,,LOCKED6,,RED,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Long Circuit_downgraded,Add  random status,dummy,op with fury,1,var randstat = rand([FIRE|ICE|SHOCK|WEAKEN|POISON|CURSE|LOCK]); inflict(randstat|1); sfx(~_~+randstat.toLowerCase());,,LOCKED7,,RED,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Disgusting Exit,Do [sword]1. If this is the final|blow[;] lose [heal] 2 max hp,dummy,op with fury,1,attack(1); sfx(~_heal~); if(target.hp <= 0){ self.maxhp--; self.hp--; if(self.maxhp <= 0) self.maxhp = 1; if(self.hp <= 0) self.hp = 1;,,DOUBLES|DOUBLES,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Disgusting Exit_upgraded,Do [sword]1. If this is the final|blow[;] lose [heal] 2 max hp,dummy,op with fury,1,attack(1); sfx(~_heal~); if(target.hp <= 0){ self.maxhp--; self.hp--; if(self.maxhp <= 0) self.maxhp = 1; if(self.hp <= 0) self.hp = 1;,,EVEN,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Disgusting Exit_downgraded,Do [sword]1. If this is the final|blow[;] lose [heal] 2 max hp,dummy,Comment,1,attack(1); sfx(~_heal~); if(target.hp <= 0){ self.maxhp--; self.hp--; if(self.maxhp <= 0) self.maxhp = 1; if(self.hp <= 0) self.hp = 1;,,REQUIRE6|REQUIRE6,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Roll the Ones,Lock dice that roll 1,dummy,Comment,2,inflict(~counter_1~); sfx(~_lock~|~~|0.2);,,COUNTDOWN,7,PINK,reducesize,change_power,,,0,NO,NO,,,,,,,,,,,,,
Roll the Ones_downgraded,Roll a 1,dummy,Comment,2,givedice(1);,,COUNTDOWN,7,PINK,reducesize,change_power,,,0,NO,NO,,,,,,,,,,,,,
Roll the Ones_weakened,Roll a 1,dummy,omg bad word !!!!!!!,1,givedice(1);,,COUNTDOWN,7,PINK,reducesize,change_power,,,0,NO,NO,,,,,,,,,,,,,
Butthead,egamad <flipd6>[sword] oD|[gray](Reuseable),dummy,omg bad word !!!!!!!,2,attack(7 - d); sfxdamage(target|7 - d); bonus(100);,Vaporizer,EVEN,,PURPLE,simplify,change_power,,,2,NO,NO,,,,,,,,,,,,,
Butthead_downgraded,egamad <flipd6>[sword] oD,dummy,hole puncher sidegrade??????????????,2,attack(7 - d); sfxdamage(target|7 - d);,Vaporizer,EVEN,,PURPLE,simplify,change_power,,,0,NO,NO,,,,,,,,,,,,,
Nunchuck Eyes,Do [sword]6 damage|[gray](Reuseable),dummy,hole puncher sidegrade??????????????,2,attack(6); sfxdamage(target|6);,Steal,REQUIRE1|REQUIRE1,,YELLOW,change_power,complicate,,,-1,NO,NO,,,,,,,,,,,,,
Nunchuck Eyes_upgraded,Do [sword]8 damage|[gray](Reuseable),dummy,hole puncher sidegrade??????????????,2,attack(8); sfxdamage(target|8);,Steal,REQUIRE1|REQUIRE1,,YELLOW,change_power,complicate,,,-1,NO,NO,,,,,,,,,,,,,
Nunchuck Eyes_downgraded,Do [sword]4 damage|[gray](Reuseable),dummy,sidegrade hammer sidegrade,2,attack(4); sfxdamage(target|4);,Steal,REQUIRE1|REQUIRE1,,YELLOW,change_power,complicate,,,-1,NO,NO,,,,,,,,,,,,,
Item Idea,Do [shock]6 damage[;]|on 6[;] inflict [shock]1 shock,dummy,sidegrade hammer sidegrade,2,attack(6|SHOCK); sfxdamage(target|6); if(d == 6){ inflict(SHOCK); sfx(~_shock~|~~|0.2); },,NORMAL,,YELLOW,change_power,complicate,,,0,NO,NO,,,,,,,,,,,,,
Item Idea_upgraded,Do [shock]6 damage[;]|on 6[;] inflict [shock]2 shock,dummy,sidegrade hammer sidegrade,2,attack(6|SHOCK); sfxdamage(target|6); if(d == 6){ inflict(SHOCK|2); sfx(~_shock~|~~|0.2); },,NORMAL,,YELLOW,change_power,complicate,,,0,NO,NO,,,,,,,,,,,,,
Item Idea_downgraded,Do [shock]1 damage[;]|on 1[;] inflict [shock]1 shock,dummy,i'm sincerely sorry,2,attack(1|SHOCK); sfxdamage(target|1); if(d == 1){ inflict(SHOCK); sfx(~_shock~|~~|0.2); },,NORMAL,,YELLOW,change_power,complicate,,,0,NO,NO,,,,,,,,,,,,,
Rap,Inflict [weaken]1 weaken[;]|get a new dice,dummy,i'm sincerely sorry,1,inflict(WEAKEN); sfx(~_weaken~|~~|0.2); givedice();,Mumble,COUNTDOWN,5,ORANGE,change_power,complicate,,,0,NO,NO,,,,,,,,,,,,,givedice();
Rap_upgraded,Inflict [weaken]1[;] roll a new dice|[gray](Reuseable),dummy,i'm sincerely sorry,1,inflict(WEAKEN); sfx(~_weaken~|~~|0.2); givedice();,Mumble,COUNTDOWN,5,ORANGE,change_power,complicate,,,2,NO,NO,,,,,,,,,,,,,givedice();
